subcategory_id,category_id,cf_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date
subcat1,cat1,147,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0,failed,0,CA,CAD,2020-02-12,2021-02-28
subcat2,cat2,1621,Odom Inc,Managed bottom-line architecture,1400.0,14560,successful,158,US,USD,2021-01-24,2021-05-24
subcat3,cat3,1812,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400.0,142523,successful,1425,AU,AUD,2020-12-16,2021-12-29
subcat2,cat2,2156,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2477,failed,24,US,USD,2021-10-20,2022-01-16
subcat4,cat4,1365,Larson-Little,Proactive foreground core,7600.0,5265,failed,53,US,USD,2020-12-20,2021-08-22
subcat4,cat4,2057,Harris Group,Open-source optimizing database,7600.0,13195,successful,174,DK,DKK,2020-12-10,2021-08-28
subcat5,cat5,1894,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200.0,1090,failed,18,GB,GBP,2020-07-30,2021-05-10
subcat4,cat4,2669,Carter-Guzman,Centralized cohesive challenge,4500.0,14741,successful,227,DK,DKK,2020-12-21,2021-09-20
subcat4,cat4,1114,Nunez-Richards,Exclusive attitude-oriented intranet,110100.0,21946,live,708,DK,DKK,2020-04-07,2021-03-09
subcat6,cat2,970,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208,failed,44,US,USD,2021-08-12,2021-08-30
subcat7,cat5,2340,Green Ltd,Monitored empowering installation,5200.0,13838,successful,220,US,USD,2020-07-10,2021-08-01
subcat4,cat4,601,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300.0,3030,failed,27,US,USD,2020-08-10,2021-06-25
subcat7,cat5,1950,Kim Ltd,Assimilated hybrid intranet,6300.0,5629,failed,55,US,USD,2020-11-13,2021-04-08
subcat8,cat2,671,"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,10295,successful,98,US,USD,2020-11-10,2021-11-05
subcat8,cat2,1683,"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,18829,failed,200,US,USD,2021-11-13,2022-01-01
subcat9,cat3,505,"Wright, Hunt and Rowe",Extended eco-centric pricing structure,81200.0,38414,failed,452,US,USD,2021-10-24,2021-12-15
subcat10,cat6,1245,Hines Inc,Cross-platform systemic adapter,1700.0,11041,successful,100,US,USD,2021-08-19,2021-12-21
subcat11,cat5,2550,Cochran-Nguyen,Seamless 4thgeneration methodology,84600.0,134845,successful,1249,US,USD,2020-04-11,2021-03-23
subcat4,cat4,875,Johnson-Gould,Exclusive needs-based adapter,9100.0,6089,canceled,135,US,USD,2021-03-23,2022-01-26
subcat4,cat4,2283,Perez-Hess,Down-sized cohesive archive,62500.0,30331,failed,674,US,USD,2021-10-11,2021-11-16
subcat7,cat5,118,"Reeves, Thompson and Richardson",Proactive composite alliance,131800.0,147936,successful,1396,US,USD,2020-04-11,2021-04-08
subcat4,cat4,711,Simmons-Reynolds,Re-engineered intangible definition,94000.0,38533,failed,558,US,USD,2021-03-13,2021-04-28
subcat4,cat4,1747,Collier Inc,Enhanced dynamic definition,59100.0,75690,successful,890,US,USD,2020-07-05,2021-08-03
subcat5,cat5,1825,Gray-Jenkins,Devolved next generation adapter,4500.0,14942,successful,142,GB,GBP,2021-07-22,2021-09-11
subcat9,cat3,1019,"Scott, Wilson and Martin",Cross-platform intermediate frame,92400.0,104257,successful,2673,US,USD,2021-04-30,2021-09-30
subcat12,cat7,821,"Caldwell, Velazquez and Wilson",Monitored impactful analyzer,5500.0,11904,successful,163,US,USD,2020-10-08,2021-05-22
subcat4,cat4,2653,Spencer-Bates,Optional responsive customer loyalty,107500.0,51814,canceled,1480,US,USD,2020-11-19,2021-07-26
subcat2,cat2,2502,"Best, Carr and Williams",Diverse transitional migration,2000.0,1599,failed,15,US,USD,2021-01-07,2021-10-14
subcat4,cat4,325,"Campbell, Brown and Powell",Synchronized global task-force,130800.0,137635,successful,2220,US,USD,2020-12-22,2021-12-22
subcat13,cat5,1345,"Johnson, Parker and Haynes",Focused 6thgeneration forecast,45900.0,150965,successful,1606,CH,CHF,2020-11-05,2021-08-26
subcat11,cat5,2303,Clark-Cooke,Down-sized analyzing challenge,9000.0,14455,successful,129,US,USD,2020-10-27,2021-02-14
subcat12,cat7,2224,Schroeder Ltd,Progressive needs-based focus group,3500.0,10850,successful,226,GB,GBP,2020-11-24,2021-02-04
subcat5,cat5,1173,Jackson PLC,Ergonomic 6thgeneration success,101000.0,87676,failed,2307,IT,EUR,2021-02-20,2021-11-25
subcat4,cat4,210,"Blair, Collins and Carter",Exclusive interactive approach,50200.0,189666,successful,5419,US,USD,2021-04-03,2021-12-08
subcat5,cat5,1546,Maldonado and Sons,Reverse-engineered asynchronous archive,9300.0,14025,successful,165,US,USD,2021-01-25,2021-12-09
subcat7,cat5,2871,Mitchell and Sons,Synergized intangible challenge,125500.0,188628,successful,1965,DK,DKK,2021-03-15,2021-03-24
subcat4,cat4,2034,Jackson-Lewis,Monitored multi-state encryption,700.0,1101,successful,16,US,USD,2021-04-06,2021-11-25
